run,esr,pre_emphasis,stft,dc,asr,params,receptive_field,segments
cabinet-ampformer_187ms,0.010424759,0.043673212,1.5948499,4.2660197e-05,1.5094069,207297,8256,2576
cabinet-ampformer_48ms,0.0096652939,0.041805801,1.5428609,3.769053e-05,0.38035648,207297,2112,2576
cabinet-wavenet_186ms,3.8079251e-05,5.3299266e-05,0.11505156,3.5588928e-06,6.0309906e-08,243265,8191,2576
cabinet-wavenet_46ms,9.8639349e-05,0.00011571092,0.12108994,1.3697146e-05,5.9993155e-08,205505,2047,2576
clean-ampformer_187ms,5.9906957e-08,2.5661202e-06,0.083315311,4.5674523e-09,1.8535625e-07,207297,8256,2588
clean-ampformer_48ms,2.9517241e-08,4.601978e-07,0.056672025,2.5331237e-10,1.8288787e-07,207297,2112,2588
clean-wavenet_186ms,3.1307095e-05,3.6964949e-05,0.047479217,5.1582972e-06,1.8215796e-07,243265,8191,2588
clean-wavenet_46ms,1.6482117e-05,3.076494e-05,0.047859192,9.4834515e-07,1.8355798e-07,205505,2047,2588
metal-ampformer_187ms,0.0056540653,0.021260709,0.76872908,4.3438667e-05,0.1669135,207297,8256,2596
metal-ampformer_48ms,0.012634609,0.025998596,0.79384117,0.00014854239,0.15331358,207297,2112,2596
metal-wavenet_186ms,0.00074587026,0.0011015984,0.11637795,6.2282478e-06,0.00049141136,243265,8191,2596
metal-wavenet_46ms,0.006224458,0.0053009732,0.21500313,6.8375305e-05,0.00019473674,205505,2047,2596
preamp-ampformer_187ms,0.0076987031,0.072871859,0.5744316,5.4775709e-05,0.07770784,207297,8256,2598
preamp-ampformer_48ms,0.0069462568,0.070003601,0.58105951,8.8042014e-06,0.092585948,207297,2112,2598
preamp-wavenet_186ms,0.00022493857,0.00083448374,0.059997786,3.4991817e-07,0.019846999,243265,8191,2598
preamp-wavenet_46ms,0.00091105039,0.0033312316,0.15492454,9.3244086e-06,0.015043393,205505,2047,2598
