run_dir,tag,version,slurm_jobids,node_host,pid,gpu,started_utc,ended_utc,minutes,epochs,learning_rate,best_val_esr,last_val_esr,scalar_points,match_method,slurm_node,host_matches_slurm,checkpoints,checkpoint_bytes,checkpoint_sha256
lightning_logs/cabinet-ampformer_187ms/version_0,cabinet-ampformer_187ms,version_0,742728,msp3-3,1519151,NVIDIA H200,2026-08-24 20:22:57,2026-08-24 20:36:08,13.2,179,0.001,0.01042475737631321,0.011574925854802132,6364,checkpoint-path,msp3-3,True,2,5093526,57ec99917174a086 57ec99917174a086
lightning_logs/cabinet-ampformer_187ms/version_1,cabinet-ampformer_187ms,version_1,915935,msp3-5,2664142,NVIDIA H200,2026-09-17 00:24:19,2026-09-17 00:25:52,1.5,20,0.001,0.10613371431827545,0.10613371431827545,708,checkpoint-path,msp3-5,True,2,5093526,9b7bb358dcd2b2e4 9b7bb358dcd2b2e4
lightning_logs/cabinet-ampformer_48ms/version_0,cabinet-ampformer_48ms,version_0,742727,msp3-0,4110693,NVIDIA H200,2026-08-24 20:11:54,2026-08-24 20:27:15,15.4,218,0.001,0.009665294550359249,0.011206524446606636,7750,checkpoint-path,msp3-0,True,2,5093526,3544812ab928ca7c 3544812ab928ca7c
lightning_logs/cabinet-ampformer_48ms/version_1,cabinet-ampformer_48ms,version_1,915934,msp3-4,2189188,NVIDIA H200,2026-09-17 00:23:50,2026-09-17 00:25:20,1.5,20,0.001,0.08747939765453339,0.08747939765453339,708,checkpoint-path,msp3-4,True,2,5093526,5ee4f27e72f25ccf 5ee4f27e72f25ccf
lightning_logs/cabinet-wavenet_186ms/version_0,cabinet-wavenet_186ms,version_0,742726,msp3-0,4110692,NVIDIA H200,2026-08-24 20:11:54,2026-08-24 22:54:09,162.3,245,0.001,3.8067559216869995e-05,9.372126078233123e-05,8709,checkpoint-path,msp3-0,True,2,6186670,988fa64594e2354a 988fa64594e2354a
lightning_logs/cabinet-wavenet_186ms/version_1,cabinet-wavenet_186ms,version_1,915933,msp3-3,2466991,NVIDIA H200,2026-09-17 00:23:46,2026-09-17 00:37:08,13.4,20,0.001,0.0023650198709219694,0.0023650198709219694,708,checkpoint-path,msp3-3,True,2,6186670,149c2f6e08399744 149c2f6e08399744
lightning_logs/cabinet-wavenet_46ms/version_0,cabinet-wavenet_46ms,version_0,742725,msp3-0,4110694,NVIDIA H200,2026-08-24 20:11:54,2026-08-24 21:55:53,104.0,186,0.001,9.903862519422546e-05,0.0007305622566491365,6609,checkpoint-path,msp3-0,True,2,5222830,ee03c7f2e9d5249d ee03c7f2e9d5249d
lightning_logs/cabinet-wavenet_46ms/version_1,cabinet-wavenet_46ms,version_1,915932,msp3-2,1375933,NVIDIA H200,2026-09-17 00:23:10,2026-09-17 00:34:22,11.2,20,0.001,0.0013458454050123692,0.0013458454050123692,708,checkpoint-path,msp3-2,True,2,5222830,7e23842c6a448fcb 7e23842c6a448fcb
lightning_logs/clean-ampformer_187ms/version_0,clean-ampformer_187ms,version_0,742720,msp3-5,3014871,NVIDIA H200,2026-08-24 19:46:33,2026-08-24 19:52:09,5.6,76,0.001,5.990697360402919e-08,6.757217363428936e-08,2710,checkpoint-path,msp3-5,True,2,5093526,6e08f981271dca72 6e08f981271dca72
lightning_logs/clean-ampformer_187ms/version_1,clean-ampformer_187ms,version_1,915880,msp3-4,3873708,NVIDIA H200,2026-09-17 00:05:03,2026-09-17 00:06:32,1.5,20,,1.9813487739384072e-08,1.9813487739384072e-08,715,checkpoint-path,msp3-4,True,2,5093526,1f0356d2db7a378f 1f0356d2db7a378f
lightning_logs/clean-ampformer_187ms/version_2,clean-ampformer_187ms,version_2,915931,msp3-4,1985830,NVIDIA H200,2026-09-17 00:22:10,2026-09-17 00:23:39,1.5,20,0.001,2.123298692424669e-08,2.123298692424669e-08,715,checkpoint-path,msp3-4,True,2,5093526,29c1a3e62d8560f0 29c1a3e62d8560f0
lightning_logs/clean-ampformer_48ms/version_0,clean-ampformer_48ms,version_0,742719,msp3-1,3932325,NVIDIA H200,2026-08-24 19:43:24,2026-08-24 19:52:10,8.8,119,0.001,2.9517305932813542e-08,9.03136606211774e-06,4243,checkpoint-path,msp3-1,True,2,5093526,02c9c54aa693243d 02c9c54aa693243d
lightning_logs/clean-ampformer_48ms/version_1,clean-ampformer_48ms,version_1,915879,msp3-2,1367027,NVIDIA H200,2026-09-17 00:03:47,2026-09-17 00:05:17,1.5,20,,1.9877804291468237e-08,1.9877804291468237e-08,715,checkpoint-path,msp3-2,True,2,5093526,afc0b9a3da2e1160 afc0b9a3da2e1160
lightning_logs/clean-ampformer_48ms/version_2,clean-ampformer_48ms,version_2,915930,msp3-2,1373839,NVIDIA H200,2026-09-17 00:21:29,2026-09-17 00:23:00,1.5,20,0.001,2.12719317715937e-08,2.12719317715937e-08,715,checkpoint-path,msp3-2,True,2,5093526,bf3deb8c7c0e2f80 bf3deb8c7c0e2f80
lightning_logs/clean-wavenet_186ms/version_0,clean-wavenet_186ms,version_0,742718,msp3-5,3005965,NVIDIA H200,2026-08-24 19:37:56,2026-08-24 20:51:51,73.9,111,0.001,3.111490877927281e-05,0.0004327036440372467,3963,checkpoint-path,msp3-5,True,2,6186670,039906cf97a3b8e0 039906cf97a3b8e0
lightning_logs/clean-wavenet_186ms/version_1,clean-wavenet_186ms,version_1,915878,msp3-6,3910396,,2026-09-17 00:03:22,2026-09-17 00:11:40,8.3,13,,1.1734693050384521,1.1734693050384521,442,tag+window,msp3-6,True,2,6186670,ed350eb238d5db64 ed350eb238d5db64
lightning_logs/clean-wavenet_186ms/version_2,clean-wavenet_186ms,version_2,915929,msp3-2,1373773,NVIDIA H200,2026-09-17 00:21:29,2026-09-17 00:34:50,13.3,20,0.001,7.163372629293008e-06,7.163372629293008e-06,715,checkpoint-path,msp3-2,True,2,6186670,20b7c1df3f028e59 20b7c1df3f028e59
lightning_logs/clean-wavenet_46ms/version_0,clean-wavenet_46ms,version_0,742717,msp3-2,1174049,NVIDIA H200,2026-08-24 16:46:00,2026-08-24 18:00:58,75.0,133,0.001,1.613740823813714e-05,0.00017523524002172053,4747,checkpoint-path,msp3-2,True,2,5222830,182fb58fe7cfa3f6 182fb58fe7cfa3f6
lightning_logs/clean-wavenet_46ms/version_1,clean-wavenet_46ms,version_1,915849,msp3-2,1366488,,2026-09-17 00:02:54,2026-09-17 00:11:43,8.8,16,,0.8501701951026917,0.8501701951026917,554,tag+window,msp3-2,True,2,5222830,5f15120e5dc9bd11 5f15120e5dc9bd11
lightning_logs/clean-wavenet_46ms/version_2,clean-wavenet_46ms,version_2,915928,msp3-2,1371375,NVIDIA H200,2026-09-17 00:13:40,2026-09-17 00:24:57,11.3,20,0.001,1.4890924830979202e-05,1.4890924830979202e-05,715,checkpoint-path,msp3-2,True,2,5222830,df9fdd2a4eca4c33 df9fdd2a4eca4c33
lightning_logs/metal-ampformer_187ms/version_0,metal-ampformer_187ms,version_0,742732,msp3-5,3465062,NVIDIA H200,2026-08-24 20:52:09,2026-08-24 21:21:22,29.2,400,0.001,0.006530477199703455,0.006535204593092203,14337,checkpoint-path,msp3-5,True,2,5093526,5636eb77a02393fd 5636eb77a02393fd
lightning_logs/metal-ampformer_187ms/version_1,metal-ampformer_187ms,version_1,744422,msp3-0,2923055,NVIDIA H200,2026-08-25 11:11:24,2026-08-25 11:39:20,27.9,383,0.001,0.005654065404087305,0.0065045664086937904,13721,checkpoint-path,msp3-0,True,2,5093526,337410ae1e277c4b 337410ae1e277c4b
lightning_logs/metal-ampformer_187ms/version_2,metal-ampformer_187ms,version_2,915943,msp3-4,31134,NVIDIA H200,2026-09-17 00:39:22,2026-09-17 00:40:51,1.5,20,0.001,0.3035868704319,0.3035868704319,715,checkpoint-path,msp3-4,True,2,5093526,5f8b43ce9228221f 5f8b43ce9228221f
lightning_logs/metal-ampformer_48ms/version_0,metal-ampformer_48ms,version_0,742731,msp3-7,1411758,NVIDIA H200,2026-08-24 20:45:08,2026-08-24 21:14:57,29.8,400,0.001,0.012413932941854,0.012424848042428493,14337,checkpoint-path,msp3-7,True,2,5093526,d7ca4793abcabf0f d7ca4793abcabf0f
lightning_logs/metal-ampformer_48ms/version_1,metal-ampformer_48ms,version_1,744421,msp3-0,1309681,NVIDIA H200,2026-08-25 10:44:11,2026-08-25 11:10:56,26.8,360,0.001,0.012634612619876862,0.013128473423421383,12902,checkpoint-path,msp3-0,True,2,5093526,7d37ead5ff895e30 7d37ead5ff895e30
lightning_logs/metal-ampformer_48ms/version_2,metal-ampformer_48ms,version_2,915942,msp3-2,1384437,NVIDIA H200,2026-09-17 00:39:03,2026-09-17 00:40:31,1.5,20,0.001,0.3216566741466522,0.3216566741466522,715,checkpoint-path,msp3-2,True,2,5093526,9fd083b723aee7e5 9fd083b723aee7e5
lightning_logs/metal-ampformer_48ms-lr1e-2/version_0,metal-ampformer_48ms-lr1e-2,version_0,915953,msp3-6,847730,NVIDIA H200,2026-09-17 00:57:59,2026-09-17 00:59:27,1.5,20,0.01,0.8441223502159119,0.8443871736526489,715,checkpoint-path,msp3-6,True,2,5093526,93561115f65cb299 93561115f65cb299
lightning_logs/metal-ampformer_48ms-lr1e-3/version_0,metal-ampformer_48ms-lr1e-3,version_0,915951,msp3-3,610646,NVIDIA H200,2026-09-17 00:57:12,2026-09-17 00:58:48,1.6,20,0.001,0.666098952293396,0.666098952293396,715,checkpoint-path,msp3-3,True,2,5093526,cf51b269a21d229d cf51b269a21d229d
