jobid	name	state	start	end	elapsed	node
742728	cabinet-ampformer_187ms	COMPLETED	2026-08-24T20:22:30	2026-08-24T20:36:09	00:13:39	msp3-3
915935	amp	COMPLETED	2026-09-17T00:23:53	2026-09-17T00:25:53	00:02:00	msp3-5
742727	cabinet-ampformer_48ms	COMPLETED	2026-08-24T20:11:29	2026-08-24T20:27:17	00:15:48	msp3-0
915934	amp	COMPLETED	2026-09-17T00:23:41	2026-09-17T00:25:21	00:01:40	msp3-4
742726	cabinet-wavenet_186ms	COMPLETED	2026-08-24T20:11:29	2026-08-24T22:54:10	02:42:41	msp3-0
915933	amp	COMPLETED	2026-09-17T00:23:18	2026-09-17T00:37:09	00:13:51	msp3-3
742725	cabinet-wavenet_46ms	COMPLETED	2026-08-24T20:11:29	2026-08-24T21:55:54	01:44:25	msp3-0
915932	amp	COMPLETED	2026-09-17T00:23:02	2026-09-17T00:34:23	00:11:21	msp3-2
742720	clean-ampformer_187ms	COMPLETED	2026-08-24T19:46:27	2026-08-24T19:52:11	00:05:44	msp3-5
915880	amp	COMPLETED	2026-09-17T00:04:33	2026-09-17T00:06:34	00:02:01	msp3-4
915931	amp	COMPLETED	2026-09-17T00:22:00	2026-09-17T00:23:40	00:01:40	msp3-4
742719	clean-ampformer_48ms	COMPLETED	2026-08-24T19:42:57	2026-08-24T19:52:11	00:09:14	msp3-1
915879	amp	COMPLETED	2026-09-17T00:03:37	2026-09-17T00:05:18	00:01:41	msp3-2
915930	amp	COMPLETED	2026-09-17T00:21:20	2026-09-17T00:23:01	00:01:41	msp3-2
742718	clean-wavenet_186ms	COMPLETED	2026-08-24T19:37:26	2026-08-24T20:51:52	01:14:26	msp3-5
915878	amp	CANCELLED by 10206	2026-09-17T00:02:39	2026-09-17T00:11:43	00:09:04	msp3-6
915929	amp	COMPLETED	2026-09-17T00:21:11	2026-09-17T00:34:51	00:13:40	msp3-2
742717	clean-wavenet_46ms	COMPLETED	2026-08-24T16:45:31	2026-08-24T18:00:59	01:15:28	msp3-2
915849	amp	CANCELLED by 10206	2026-09-17T00:02:09	2026-09-17T00:11:43	00:09:34	msp3-2
915928	amp	COMPLETED	2026-09-17T00:13:18	2026-09-17T00:24:58	00:11:40	msp3-2
